trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",25,0,-75.2671939486195,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.002, 'e': 0.9980019986673331}",25,0,-116.22814129056931,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.002, 'e': 0.9960079893439915}",25,5,-110.46951283025803,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",1
4,False,"{'a': 0.002, 'e': 0.9940179640539353}",30,0,-82.26251137840453,"{0: 17, 1: 5, 2: 8, 3: 0, 4: 0}",0
5,False,"{'a': 0.002, 'e': 0.9920319148370607}",25,0,-96.10777037055192,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.002, 'e': 0.9900498337491681}",25,0,-28.14319102368343,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.002, 'e': 0.9880717128619305}",20,0,-164.8475959758411,"{0: 9, 1: 0, 2: 8, 3: 1, 4: 2}",0
8,False,"{'a': 0.002, 'e': 0.9860975442628619}",25,0,-152.3573598705588,"{0: 12, 1: 3, 2: 7, 3: 2, 4: 1}",0
9,False,"{'a': 0.002, 'e': 0.9841273200552851}",20,0,-38.11621220143417,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.002, 'e': 0.9821610323583008}",20,0,-138.1694180937408,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
11,False,"{'a': 0.002, 'e': 0.9801986733067553}",20,0,-145.02701925563008,"{0: 7, 1: 4, 2: 7, 3: 1, 4: 1}",0
12,False,"{'a': 0.002, 'e': 0.97824023505121}",30,0,-127.26651449208754,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
13,False,"{'a': 0.002, 'e': 0.9762857097579093}",25,0,-59.51178132339989,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
14,False,"{'a': 0.002, 'e': 0.9743350896087494}",20,0,-90.49068647250843,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
15,False,"{'a': 0.002, 'e': 0.9723883668012469}",20,0,-70.98139206468372,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
16,False,"{'a': 0.002, 'e': 0.9704455335485082}",25,0,-159.71946625880702,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
17,False,"{'a': 0.002, 'e': 0.9685065820791976}",25,0,-139.53150827731628,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.002, 'e': 0.9665715046375066}",20,0,-72.67729477899422,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
19,False,"{'a': 0.002, 'e': 0.9646402934831231}",25,0,-103.14629774740858,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
20,False,"{'a': 0.002, 'e': 0.9627129408911995}",25,0,-139.05543870730097,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
21,False,"{'a': 0.002, 'e': 0.9607894391523232}",20,0,-81.6056538059681,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
22,False,"{'a': 0.002, 'e': 0.9588697805724845}",20,0,-79.40661256391508,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
23,False,"{'a': 0.002, 'e': 0.9569539574730467}",30,0,-114.44555427642739,"{0: 18, 1: 2, 2: 8, 3: 2, 4: 0}",0
24,False,"{'a': 0.002, 'e': 0.9550419621907147}",25,14,-54.45973922676393,"{0: 5, 1: 2, 2: 3, 3: 1, 4: 0}",1
25,False,"{'a': 0.002, 'e': 0.9531337870775047}",25,0,-25.466873415181265,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
26,False,"{'a': 0.002, 'e': 0.951229424500714}",35,0,-182.85259063299205,"{0: 21, 1: 4, 2: 7, 3: 0, 4: 3}",1
27,False,"{'a': 0.002, 'e': 0.9493288668428895}",20,0,-121.83002615050557,"{0: 12, 1: 4, 2: 0, 3: 2, 4: 2}",0
28,False,"{'a': 0.002, 'e': 0.9474321065017983}",20,0,-80.12023916394791,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
29,False,"{'a': 0.002, 'e': 0.9455391358903963}",20,0,-62.54718020227909,"{0: 11, 1: 7, 2: 0, 3: 2, 4: 0}",0
30,False,"{'a': 0.002, 'e': 0.9436499474367985}",25,0,-85.72437367864141,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
31,False,"{'a': 0.002, 'e': 0.9417645335842487}",25,0,-39.77114817575131,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
32,False,"{'a': 0.002, 'e': 0.9398828867910889}",20,0,-131.58077988562977,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
33,False,"{'a': 0.002, 'e': 0.9380049995307295}",20,0,-179.42756632965845,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 2}",0
34,False,"{'a': 0.002, 'e': 0.9361308642916188}",25,8,-55.31303599798649,"{0: 9, 1: 4, 2: 3, 3: 1, 4: 0}",1
35,False,"{'a': 0.002, 'e': 0.9342604735772135}",25,0,-68.22589318659713,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
36,False,"{'a': 0.002, 'e': 0.9323938199059483}",20,0,-15.602121507133639,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
37,False,"{'a': 0.002, 'e': 0.9305308958112057}",20,0,-166.04561772555013,"{0: 6, 1: 6, 2: 4, 3: 3, 4: 1}",0
38,False,"{'a': 0.002, 'e': 0.9286716938412872}",30,0,-179.50634593748893,"{0: 12, 1: 7, 2: 8, 3: 2, 4: 1}",0
39,False,"{'a': 0.002, 'e': 0.9268162065593822}",30,0,-169.0828360248171,"{0: 21, 1: 0, 2: 5, 3: 1, 4: 3}",0
40,False,"{'a': 0.002, 'e': 0.9249644265435393}",35,15,-77.48216014356218,"{0: 12, 1: 3, 2: 2, 3: 3, 4: 0}",1
41,False,"{'a': 0.002, 'e': 0.9231163463866358}",25,0,-81.45166556375044,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
42,False,"{'a': 0.002, 'e': 0.9212719586963487}",20,0,-115.5911042679243,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
43,False,"{'a': 0.002, 'e': 0.9194312560951247}",25,0,-105.75736257593843,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
