trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.04039783927433,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,1,-119.24897981347364,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,8,-15.424143331489002,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.19430948504935,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-174.50436596173137,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-170.76478223870592,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.348622545390015,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-166.5644366226295,"{0: 12, 1: 5, 2: 4, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.753321122160365,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.95328494620284,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-135.27899061203487,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-167.98422455690485,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.81721719348141,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.24648991168375,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-142.48035503068397,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,5,-61.12127977210651,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-170.20632309407569,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.81347978607764,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.69719564651433,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,10,-73.37735714475865,"{0: 5, 1: 2, 2: 1, 3: 1, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",30,0,-107.31899194018614,"{0: 17, 1: 7, 2: 5, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-163.92543810149414,"{0: 13, 1: 5, 2: 3, 3: 2, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",25,0,-135.93436848990052,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",25,0,-215.3341325588206,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 4}",0
5,True,"{'a': 0, 'e': 0}",30,0,-138.89668764857305,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",25,0,-125.06601420760435,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,0,-16.159355332188504,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",30,13,3.656806323171093,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,-162.8557975531173,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",25,0,-32.80763724621113,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
